X,Y,correlation,p_value,significant,n_obs
HY_IG_Spread,SPY_Returns,-0.23904860477202441,6.51685584306787e-06,True,348
HY_IG_Spread,SPY_MoM,-0.23904860477202441,6.51685584306787e-06,True,348
HY_IG_Spread,SPY_QoQ,-0.4769733083177565,4.665371760054335e-21,True,346
HY_IG_Spread,SPY_YoY,-0.7359307664177369,1.0729560846704638e-58,True,337
Spread_MoM,SPY_Returns,-0.6569414824778658,2.3538201547186034e-44,True,348
Spread_MoM,SPY_MoM,-0.6569414824778659,2.3538201547186034e-44,True,348
Spread_MoM,SPY_QoQ,-0.4516220016899239,8.59754604986848e-19,True,346
Spread_MoM,SPY_YoY,-0.13913596057284344,0.010553186065651216,True,337
Spread_QoQ,SPY_Returns,-0.33146500368932985,2.566507435974388e-10,True,346
Spread_QoQ,SPY_MoM,-0.33146500368932974,2.566507435974388e-10,True,346
Spread_QoQ,SPY_QoQ,-0.6887011854573465,5.748326690608392e-50,True,346
Spread_QoQ,SPY_YoY,-0.24728851677146102,4.342105496127459e-06,True,337
Spread_YoY,SPY_Returns,-0.25220100960422287,2.75081751742853e-06,True,337
Spread_YoY,SPY_MoM,-0.2522010096042228,2.75081751742853e-06,True,337
Spread_YoY,SPY_QoQ,-0.44845331049224113,4.455895974378845e-18,True,337
Spread_YoY,SPY_YoY,-0.6177326349112513,7.666883146755321e-37,True,337
Spread_ZScore,SPY_Returns,-0.27997166928616707,1.666253890717507e-07,True,338
Spread_ZScore,SPY_MoM,-0.279971669286167,1.666253890717507e-07,True,338
Spread_ZScore,SPY_QoQ,-0.4861294554429613,1.8905100288692273e-21,True,338
Spread_ZScore,SPY_YoY,-0.6007501952365727,1.953587117011981e-34,True,337
